Name,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31,Round 32,Round 33,Round 34,Round 35,Round 36,Round 37,Round 38,Round 39,Round 40,Round 41,Round 42,Round 43,Round 44,Round 45,Round 46,Round 47,Round 48,Round 49,Round 50,Round 51,Round 52,Round 53,Round 54,Round 55,Round 56,Round 57,Round 58,Round 59,Round 60,Round 61,Round 62,Round 63,Round 64,Round 65,Round 66,Round 67,Round 68,Round 69,Round 70,Round 71,Round 72,Round 73,Round 74,Round 75
Location,"42.88745,-79.90902","25.16731,-97.71211","-1.24193,-46.29993","54.52573,8.64475","-8.09716,-173.06530","56.75762,97.56611","-19.03858,21.0777","64.22230,126.61274","-28.75954,-61.17630","-8.06380,-9.73144","63.61971,-159.23817","31.42080,98.25587","12.75710,102.18974","24.75407,45.70224","45.34900,-147.73661","-9.56323,35.41196","7.19893,10.27789","40.18388,-88.26747","-8.84016,125.86092","42.76279,-26.35811","50.55140,37.0641","-8.50552,17.79717","64.16826,169.31981","0.95099,122.50751","3.77510,-44.26523","23.80822,18.79162","19.74052,57.17697","0.03493,-64.24280","15.95473,1.03793","31.21514,-40.13379","-8.65809,-77.20079","25.64561,2.52492","33.07942,-107.50373","15.15095,79.24915","-40.72422,-131.04434","39.92947,-83.18137","-19.63952,-52.44096","64.74920,-16.40621","34.72942,43.30842","20.05705,-142.54321","20.39443,101.27905","30.17212,28.09302","-36.85802,-61.62347","42.72843,22.80838","-60.14787,68.98152","22.58638,89.74409","-28.97336,144.07499","6.03854,9.97050","-5.15488,145.02481","43.90632,-19.74253","52.12279,26.64262","53.50717,102.28285","52.33376,-86.37075","1.47020,10.66546","-35.32501,4.23753","22.76388,102.09776","-23.95835,144.65979","42.19240,-115.95282","70.59249,147.35160","6.10223,-79.46367","-5.33040,-36.58790","8.73224,1.41804","28.00962,97.39460","19.75814,48.96835","-23.17134,-87.59706","18.58460,-71.39322","1.78594,39.31416","55.56516,-103.50480","32.04791,75.92816","-1.70855,-149.93874","32.14758,-5.53253","42.44382,-96.01562","7.14098,13.34643","21.80085,109.81081","-46.70008,-0.16060"
Steve Lira,"43.08584,-79.06862","27.42409,-97.29907","19.38295,-70.51502","52.372372,9.766774","-17.60421,177.45367","52.80262,23.82718","48.13403,11.55026","61.63464,-149.12987","19.27408,-70.71028","48.13403,11.55026","61.1733604,-149.9811143","52.69713,23.87809","52.69713,23.87809","49.98262,20.0549","59.93949,-149.31849","49.98262,20.0549","48.13403,11.55026","40.10656,-88.22358","-17.614047,177.345905","50.0719,8.24361","52.69713,23.87809","48.13403,11.55026","61.1733604,-149.9811143","-17.614047,177.345905","19.38295,-70.51502","48.13671,11.61422","52.69713,23.87809","19.27408,-70.71028","48.13403,11.55026","42.3689869,-71.017466","19.27408,-70.71028","48.13403,11.55026","35.04055,-106.62554","52.69713,23.87809","-38.64963,176.08939","39.11807,-84.48616","19.27408,-70.71028","52.372372,9.766774","52.69713,23.87809","21.99319,-159.33178","52.69713,23.87809","49.98262,20.0549","19.27408,-70.71028","49.98262,20.0549","-45.41698,167.71192","52.69713,23.87809","-44.610097,167.8681782","48.13403,11.55026",,,,,,,,,,,,,,,,,,,,,,,,,,,
Patxepi,"43.0858067,-79.0686602","32.836666666666666,-96.84228611111111","18.4378,-66.0042","50.62549,3.08787","18.91137070818888,-155.6815709597448","25.0925493,121.2411244","21.6613588,39.1649998","25.0925493,121.2411244","-16.3999567,-71.5362592","41.1111628,1.2528689","48.76466111111111,-113.80715277777777","22.1970652,113.5362319","22.181320541555653,113.5301720134474","24.958526143022837,46.70435142637477","37.897748,-122.575333","21.6613588,39.1649998","21.6613588,39.1649998","39.71111388888889,-86.29155833333333","6.9656195,118.5376978","51.4694862,-0.4512495","48.352577,11.803393","21.6613588,39.1649998","48.76466111111111,-113.80715277777777","6.9656195,118.5376978","18.4378,-66.0042","21.6613588,39.1649998","24.94836551676497,46.71390005937502","-13.4033624,-71.8328371","41.1111628,1.2528689","44.339413,-68.2532709","-12.04383611111111,-77.02482499999999","41.1111628,1.2528689","33.38777,-111.83669","24.94836551676497,46.71390005937502","-13.89385958625533,-76.29614029773312","41.2042282,-81.5832497","-15.6367,-70.34893055555555","51.4694862,-0.4512495","24.958526143022837,46.70435142637477","18.91137070818888,-155.6815709597448","22.181320541555653,113.5301720134474","21.67127,39.16525","-16.3999567,-71.5362592","48.352577,11.803393","6.9736608407130225,118.47569916270639","22.181320541555653,113.5301720134474","13.4938764,144.8084645","21.6613588,39.1649998","13.4938764,144.8084645","51.4694862,-0.4512495",,,,,,,,,,,,,,,,,,,,,,,,,
vel,"28.408307039640995,-16.566040828672932","28.270110133442895,-16.638740726350335","28.0875941,-16.7382726","53.5952552,9.9355817","56.124016512883365,8.114359862461123","54.4809276546626,11.075260855257559","28.0875941,-16.7382726","56.124016512883365,8.114359862461123","28.0875941,-16.7382726","28.0875941,-16.7382726","56.124016512883365,8.114359862461123","52.5302,13.3794","52.5302,13.3794","47.7955769,11.6844062","56.124016512883365,8.114359862461123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wowa,"42.333843,-83.0247993","25.663606,-100.309283","31.61244954139606,-8.02119186599753","55.48763695373464,8.411263665583915","25.034315873462205,121.56521581331117","37.96858193998331,112.55103104810401","-26.028616335585678,27.854648694391006","37.96858193998331,112.55103104810401","25.663606,-100.309283","31.61244954139606,-8.02119186599753","42.34138888888889,-83.054","22.541038,88.366516","1.3541686285944416,103.98570009348185","24.4603709,54.3214213","25.67221742693221,-100.35350309447699","-26.028616335585678,27.854648694391006","31.6750818,6.1441868","42.32619819888755,-83.05225554492148","1.3541686285944416,103.98570009348185","43.266376467053874,-2.9462031653337304","49.988717,36.232236","-26.028616335585678,27.854648694391006","37.96858193998331,112.55103104810401","1.3541686285944416,103.98570009348185","31.61244954139606,-8.02119186599753","31.6750818,6.1441868","24.453568370298985,54.64812254774871","40.70145417434128,-74.01233093227896","31.6750818,6.1441868","31.61244954139606,-8.02119186599753","25.663606,-100.309283","31.6750818,6.1441868","25.663606,-100.309283","18.532119,73.829744","25.663606,-100.309283","42.32619819888755,-83.05225554492148","40.70145417434128,-74.01233093227896","62.3914670828289,5.61151285005484","41.70156500709193,44.787059666252865","25.67221742693221,-100.35350309447699","22.541038,88.366516","32.05307210624615,34.752780253060074","25.663606,-100.309283","42.690226,23.31939","-26.028616,27.854649","22.541038,88.366516","1.3541686285944416,103.98570009348185","31.6750818,6.1441868","1.3541686285944416,103.98570009348185","43.266376467053874,-2.9462031653337304","49.9688628156865,24.89972964091977","37.96858193998331,112.55103104810401","42.34138888888889,-83.054","31.6750818,6.1441868","-26.028616,27.854649","22.541038,88.366516","1.3541686285944416,103.98570009348185","29.74275055096066,-95.46415803706371","37.96858193998331,112.55103104810401","25.663606,-100.309283","31.61244954139606,-8.02119186599753","31.6750818,6.1441868","22.541038,88.366516","24.4603709,54.3214213","25.663606,-100.309283","40.70145417434128,-74.01233093227896","24.4603709,54.3214213","42.34138888888889,-83.054","28.553754,77.084652","25.67221742693221,-100.35350309447699","33.37275749736655,-7.579872064135208","42.34138888888889,-83.054","31.6750818,6.1441868","23.700600730789606,120.55879015692207","-26.028616,27.854649"
vegetal,"53.427162,-6.24118","53.427162,-6.24118","53.337599,-6.257493","55.67766629948034,12.494811795115924","-43.531496,172.62683","22.3148657890675,113.93320675629698","43.737012741378386,7.427680867915095","22.306103992701964,114.16988212648472","-45.875082,170.508411","43.469603,5.655936","56.951649,24.102128","22.3148657890675,113.93320675629698","2.7534486,101.7062342","48.041622,17.041015","53.43040266750453,-6.246610105017836","43.737012741378386,7.427680867915095","43.469603,5.655936","53.43040266750453,-6.246610105017836","5.5000336,118.2068293","53.337599,-6.257493","56.944236,24.121601","43.737012741378386,7.427680867915095","22.306103992701964,114.16988212648472","5.5000336,118.2068293","53.337599,-6.257493","43.737012741378386,7.427680867915095","48.041622,17.041015","53.337599,-6.257493","43.469603,5.655936","53.337599,-6.257493","53.337599,-6.257493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qazplm500,"38.890403255337226,-77.06993562744204","36.4506151123077,-104.96105543145447","25.07296262781478,-77.33766475516366","63.9769409686157,-16.97060828381676","19.135273455077105,-155.5050541842711","64.03076260018764,-16.937425112009507","63.9769409686157,-16.97060828381676","64.96766255343138,-22.995027357541534","19.292325690469017,-81.38620178619186","63.40192172577411,-19.037306223446674","47.940421649141946,-124.64939121055495","64.03076260018764,-16.937425112009507","64.03076260018764,-16.937425112009507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rikk,"38.8892695,-77.0500122","19.6929509,-98.8455988","-3.1073413,-60.0142681","50.0501507,8.5744962","34.0159851,-118.8207747","40.2468977,73.3249902","35.198504,24.0790788","30.73488,104.143785","-23.9253541,-67.6604464","-22.9493994,-43.1566542","44.5556879,-112.30925","30.6623083,104.0386998","13.1650651,100.9357765","25.3265994,55.5145792","34.0159851,-118.8207747","25.3265994,55.5145792","35.198504,24.0790788","41.7377722,-87.8664761","13.1650651,100.9357765","37.1057853,-8.9386701","41.0254746,28.9749414","35.198504,24.0790788","44.5556879,-112.30925","22.2796318,114.1615326","-3.1073413,-60.0142681","35.198504,24.0790788","25.3265994,55.5145792","-3.1188183,-60.4933506","28.0609011,-15.4199817","28.131549,-15.4492027","-2.2478228,-78.7821624","36.7343409,-3.54974","36.8317056,-104.334653","13.752369,100.4886466","-51.039848,-73.1473723","38.251169565578174,-85.75415982090334","-22.9009083,-47.054272","59.9141698,10.7371821","41.0207875,28.9833817","34.0159851,-118.8207747","14.4739798,101.3902306","35.198504,24.0790788","-33.4224707,-70.6112625","41.0254746,28.9749414","-53.1648035,-70.9009894","14.3555484,100.5585574","13.1650651,100.9357765","35.198504,24.0790788","22.2709828,114.1508748","37.1057853,-8.9386701","41.0254746,28.9749414",,,,,,,,,,,,,,,,,,,,,,,,
Redoct878,"39.95532450968639,-75.1631100923433","29.989431634273434,-95.3414638488444","33.64165261944666,-84.44411018617708","39.87406453656534,-75.2443322743231","21.306858034439497,-157.94542120988208","49.901863535498514,-97.2170943729415","39.87406453656534,-75.2443322743231","49.196517883826246,-123.17923444917268","33.64165261944666,-84.44411018617708","39.87406453656534,-75.2443322743231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia,"62.5584473,6.1151291","41.2376333,-8.6725861","38.7876426,-9.3907745","55.6800278,12.5895","-43.5286731,172.6388608","40.4331975,116.5641384","36.5101972,-4.8850361","40.4331975,116.5641384","38.7876426,-9.3907745","36.5101972,-4.8850361","43.0572686,141.3526615","29.5652593,106.5738422","1.374928,103.8769528","25.196635599863974,55.27304722799519","43.1990945,141.0025843","25.196635599863974,55.27304722799519","36.5101972,-4.8850361","62.5584473,6.1151291","-8.3914583,115.6308278","41.2376333,-8.6725861","59.3035342,18.1182156","36.7591028,-3.6743389","43.0572686,141.3526615","-8.3914583,115.6308278","38.7876426,-9.3907745","36.7591028,-3.6743389","25.196635599863974,55.27304722799519","38.7877947,-9.3907152","36.7591028,-3.6743389","38.7877947,-9.3907152","38.7877947,-9.3907152","36.7591028,-3.6743389","1.3431407,103.8586692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton,"43.6613222,-79.6239611","29.9779556,-95.3341361","5.4939083,-54.0368806","55.5159,9.7078","-17.7515861,177.4510194","37.56019126589368,126.97551536895223","-20.452303,57.312906","41.9051,140.6478","-34.6079056,-58.37355","27.7452056,-15.5765278","61.1734694,-149.9821472","18.7882056,98.9983833","13.6896,100.7551806","25.262125,51.6126056","55.3560667,-131.7108611","-4.660725966520563,55.41073228366492","35.8244494,14.4399741","39.7149778,-86.2990806","7.1265944,134.2819528","38.7947,-27.19505","54.6439056,25.2864","-4.660725966520563,55.41073228366492","61.173469,-149.982147","7.1265944,134.2819528","5.50365,-54.0310556","35.840873,14.5451411","25.1851577,55.2577813","5.4566028,-55.2001389","5.6162639,-0.1643361","38.596775,-28.8263167","-12.022367266166869,-77.11023838051483","35.2769167,-2.9571917","35.04585,-106.6195972","12.9844,77.5883","-27.1899028,-109.4424056","39.3407778,-84.2665167","-15.872035529938065,-47.91987411575532","62.0749389,-7.4119056","32.8224639,34.9969","19.6385222,-155.9910139","18.78784011661726,99.00102982860687","35.0069611,25.6045333","-34.616617,-58.371803","42.6927139,23.3200861","-20.4908722,57.3712528","18.7714389,98.9649056","-33.71638764940295,150.31104308236525","0.3753972,6.7126806","7.4582222,151.8407278","37.8416278,-25.1490417","54.6439056,25.2864","37.50885,126.889519","48.1074021,-88.6065876","0.3460472,6.7394333","0.0,6.5191611","18.7877528,99.0009833","-27.464216954932944,153.015675950336","43.5671806,-116.2228306","61.218475,-149.9019167","8.949325,-79.5317917","-15.7977944,-47.8636806","5.6015528,-0.1719167","18.7877278,98.9932028","25.262125,51.6126056","-12.024189,-77.108428","18.4382056,-69.6774889","-4.5731528,55.4336361","51.1297861,-114.0022667","12.9844,77.5883","-17.5390806,-149.5685722","33.37029645407032,-7.582419309864961","43.7605333,-101.9266361","0.3753667,6.7127222","22.1195,113.5695","-23.629625,-46.656825"
fladnag,"41.5089321,-81.6116421","29.738219695324915,-98.1052307208414","27.6881596535336,-82.73806587273248","51.470515,-0.4598792","37.827653203425676,-122.48127324589498","59.3616587,26.3349634","51.470515,-0.4598792","59.3481421,26.3637087","48.1948217,-106.634829","51.470515,-0.4598792","47.9796841,-122.2002532","58.3755522,26.7207754","58.3804789,26.7244671","58.3943213,26.7445153","46.9965585,-122.783415","58.3741939,26.7076366","51.470515,-0.4598792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeune Herisson,"43.618946,-79.370645","43.618946,-79.370645","43.618946,-79.370645","55.693415,12.60783","43.618946,-79.370645","59.40185043273742,18.35418233692054","24.64519,32.92928","59.40185043273742,18.35418233692054","43.618946,-79.370645","29.926313,-6.830287","43.618946,-79.370645","24.64519,32.92928","24.64519,32.92928","24.64519,32.92928","43.618946,-79.370645","24.64519,32.92928","29.871765680387323,-5.6904934100496005","43.618946,-79.370645","24.64519,32.92928","38.778786,-9.498078","52.25153632805274,21.043570120405445","24.64519,32.92928","66.045917,-17.342594","24.64519,32.92928","29.926313,-6.830287","35.893612,14.506503","24.64519,32.92928","44.646952,-63.578913","29.871765680387323,-5.6904934100496005","46.103269,-60.74525","43.618946,-79.370645","29.91356,-5.59837","43.618946,-79.370645","24.64519,32.92928","43.618946,-79.370645","43.618946,-79.370645","29.926313,-6.830287","64.1008902,-16.263414","26.1419,32.67025","43.618946,-79.370645","26.1419,32.67025","26.1419,32.67025","44.646952,-63.578913","41.111379,20.788628","24.64519,32.92928","24.64519,32.92928","24.64519,32.92928",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Geographer,"43.32073,-79.79935","29.42510675210454,-98.49057088226822","28.258163271366147,-80.60380810810815","55.67728,12.494845","35.6649288,139.8930932","41.90493,140.64844","41.79697,12.24193","41.90493,140.64844","28.258163271366147,-80.60380810810815","43.44954,4.41865","49.3027,-123.12648","35.50857,138.76161","35.5004512,138.7657574","41.88893,12.49383","45.600875,-123.949105","41.88893,12.49383","41.79697,12.24193","40.1417014,-88.2469018","35.243290096089325,139.15619010725615","50.1186585,-5.4771633","60.31907,24.96961","41.79697,12.24193","41.90493,140.64844","35.243290096089325,139.15619010725615","28.258163271366147,-80.60380810810815","41.79697,12.24193","41.88893,12.49383","28.258163271366147,-80.60380810810815","41.79697,12.24193","41.641364,-70.278802","28.258163271366147,-80.60380810810815","43.44954,4.41865","31.81832,-106.37644","35.50857,138.76161","26.4030304,-99.0138851","39.962117,-83.051419","28.258163271366147,-80.60380810810815","64.09925,-16.26084","41.88893,12.49383","36.3574,-121.9028","35.50857,138.76161","41.88893,12.49383","28.258163271366147,-80.60380810810815","41.88893,12.49383","35.243290096089325,139.15619010725615","35.50857,138.76161","35.243290096089325,139.15619010725615","41.79697,12.24193","35.243290096089325,139.15619010725615","50.11877,-5.47869","51.22772,15.9313","41.90493,140.64844","46.84114,-87.68036","41.79697,12.24193","41.79697,12.24193",,,,,,,,,,,,,,,,,,,,
JayVerti,"43.0830358,-79.0710406","33.0342511,-83.9383927","18.345602606665796,-66.75267887356217","55.6774284,12.4948085","42.3245556,-87.9067778","59.8504694,17.6275541","29.5077014,34.9206823","59.8504694,17.6275541","18.345602606665796,-66.75267887356217","29.512222163024123,34.9108246250411","43.0285739,-87.971845","33.128399092933165,35.78575346256048","33.128399092933165,35.78575346256048","29.540066034916006,34.96860214398115","30.2729475,-97.7454918","29.5077014,34.9206823","29.512222163024123,34.9108246250411","41.8828488,-87.6230203","29.5077014,34.9206823","53.271607,-9.0572978","59.328402,18.055128","29.5077014,34.9206823","59.8504694,17.6275541","29.5077014,34.9206823","18.345602606665796,-66.75267887356217","29.512222163024123,34.9108246250411","29.5077014,34.9206823","18.345602606665796,-66.75267887356217","47.45099605620912,8.557427286626105","45.95982579318916,-66.63600813312469","18.309630639104693,-67.23955211433957","47.45099605620912,8.557427286626105","29.3855423,-100.9053653","29.5077014,34.9206823","25.896566566954203,-97.49017643629607","41.0220464,-83.9221395","18.345602606665796,-66.75267887356217","56.8212623,-5.1081702","33.128399092933165,35.78575346256048","29.3855423,-100.9053653","29.5077014,34.9206823","31.19847082857439,34.367572306687464","18.345602606665796,-66.75267887356217","48.36214076517994,11.809215412707363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palin,"41.238928,-8.6726345","-6.705231,-79.899828","-23.4251057,-46.4748673","52.3119915,4.7621222","34.4600723,136.7231563","43.2591713,76.953106","37.8712024,27.4004183","43.329486,140.354992","-26.0736488,-65.9755558","-23.4251057,-46.4748673","43.07055,141.36897","20.3645,99.46971","12.8093673,102.1538552","25.2417986,55.3745223","42.55954,141.3653","25.2417986,55.3745223","37.5028691,15.0832673","-6.705231,-79.899828","1.2869947,103.8545416","41.238928,-8.6726345","41.2696501,28.7389516","37.5028691,15.0832673","43.0682007,141.352281","10.7719088,106.6985546","-23.4251057,-46.4748673","37.5028691,15.0832673","25.2417986,55.3745223","-13.5170947,-71.9786359","37.1770218,-3.5849735","38.7860069,-9.3933595","-8.141688,-78.991917","37.1770218,-3.5849735","-6.705231,-79.899828","19.4993955,97.9078925","-51.1194476,-73.1315457","-6.705231,-79.899828","-25.6908984,-54.4377326","66.866897,21.184485","38.7649823,35.4872282","43.07055,141.36897","19.8498367,100.4537943","37.7826465,29.0955909","-34.8157065,-58.5400882","41.2696501,28.7389516","-54.90537,-67.37354","19.4993955,97.9078925","1.2869947,103.8545416","37.5028691,15.0832673","10.7719088,106.6985546","41.238928,-8.6726345","59.4351791,24.7409233","43.3540324,79.070763","66.8668426,21.1845247",,,,,,,,,,,,,,,,,,,,,,
Summitblvd,"43.13309728576123,-79.0480526123829","29.95076991538288,-90.08171895450266","12.233361505503758,-68.37040476806294","52.2476523,21.0137062","34.101678,-118.326727","52.2476523,21.0137062","41.82323636990491,12.751365195634001","58.41916343421999,-134.5458170710379","12.233361505503758,-68.37040476806294","39.747576048421685,-3.8641535741684163","58.41916343421999,-134.5458170710379","50.01884,22.01927","50.01884,22.01927","50.01884,22.01927","47.62323380789287,-122.38291704761069","41.82323636990491,12.751365195634001","41.82323636990491,12.751365195634001","40.688807,-74.043764","58.41916343421999,-134.5458170710379","39.85035393361161,-4.021873178892085","50.01884,22.01927","41.82323636990491,12.751365195634001","58.41916343421999,-134.5458170710379","50.01884,22.01927","12.233361505503758,-68.37040476806294","41.82323636990491,12.751365195634001","50.01884,22.01927","12.233361505503758,-68.37040476806294","41.82323636990491,12.751365195634001","17.140801463510595,-62.62966961330996","12.233361505503758,-68.37040476806294","39.747576048421685,-3.8641535741684163","37.00262232299863,-111.57384056023454","50.01884,22.01927","9.378738,-84.147461","43.13309728576123,-79.0480526123829","12.233361505503758,-68.37040476806294","51.50325458131231,-0.11965781227166983","50.01884,22.01927","34.101678,-118.326727","50.01884,22.01927","41.82323636990491,12.751365195634001","12.233361505503758,-68.37040476806294","41.82323636990491,12.751365195634001","41.82323636990491,12.751365195634001","50.01884,22.01927","34.101678,-118.326727","41.82323636990491,12.751365195634001","58.41916343421999,-134.5458170710379","39.85035393361161,-4.021873178892085","52.2476523,21.0137062","52.2476523,21.0137062","41.9776278,-87.9012241","41.82323636990491,12.751365195634001","39.747576048421685,-3.8641535741684163","52.2476523,21.0137062",,,,,,,,,,,,,,,,,,,
JONEXO,"28.3762,-81.54962","28.3762,-81.54962","16.837916666666665,-25.055194444444446","52.3750278,4.9113611","37.8076339,-122.4443144","68.4977622,16.7022647","25.521684,34.6429312","68.4977622,16.7022647","25.6751,-80.16306","16.5968,-22.90752","38.29216,-122.4578","25.73803,55.8878686","25.73803,55.8878686","24.4124967,54.47479","38.29216,-122.4578","25.521684,34.6429312","32.70063,-4.75838","28.3762,-81.54962","25.73803,55.8878686","32.80968,-17.25656","51.5087041,23.6172443","25.521684,34.6429312","68.4977622,16.7022647","25.73803,55.8878686","16.837916666666665,-25.055194444444446","36.04423,14.24319","24.4124967,54.47479","18.6765251,-88.389414","32.70063,-4.75838","32.80968,-17.25656","18.49434,-88.28893","32.70063,-4.75838","36.9521631,-110.073217","25.73803,55.8878686","17.3267,-91.92589","43.22452,-79.66828","16.837916666666665,-25.055194444444446","57.1740929,-4.6333159","34.986426,34.076624","37.8076339,-122.4443144","25.73803,55.8878686","27.2297813,33.8430978","18.49434,-88.28893","42.6999,23.32113","24.4124967,54.47479","25.73803,55.8878686","25.73803,55.8878686","32.70063,-4.75838","25.73803,55.8878686","41.1403516,-8.6127664","52.70012,23.84458","68.4977622,16.7022647","43.6956395,-79.6088034","25.521684,34.6429312","16.5968,-22.90752","25.73803,55.8878686","25.73803,55.8878686",,,,,,,,,,,,,,,,,,
rhoticity,"43.2034465,-80.03792","29.4250102,-98.4999018","-12.0441351,-77.0270244","54.033277,10.211863","7.068787,171.282153","37.773271,126.677214","35.8485317,14.5136965","43.0661695,141.3543855","-12.124755,-77.026964","35.8471639,14.4954333","49.1976389,-123.1738611","25.0768,121.236999","14.574378,120.98439","35.9011639,14.5151912","49.1976389,-123.1738611","35.8485317,14.5136965","35.8485317,14.5136965","40.1776742,-88.2402898","7.3652483,134.5330623","51.895992,-8.463468","47.50051,19.1079823","35.8485317,14.5136965","43.0661695,141.3543855","7.3652483,134.5330623","-12.0441351,-77.0270244","35.8485317,14.5136965","35.8485317,14.5136965","-12.0441351,-77.0270244","35.8485317,14.5136965","43.647326,-70.311001","-12.042188,-77.107964","35.8485317,14.5136965","35.040328,-106.625975","14.505306,121.000436","-12.129454,-77.034612","40.000303,-83.011651","-12.124755,-77.026964","62.1036954,-7.6539805","47.485216,19.106678","21.306568,-157.85729","25.0768,121.236999","35.8485317,14.5136965","-12.129929,-77.034254","47.225881,18.66184","7.3652483,134.5330623","25.077735,121.229862","7.456233,151.837556","35.8485317,14.5136965","7.456233,151.837556","51.900656,-8.47622","47.501318,19.107756","37.451322,126.454794","47.9734706,-84.7830324","35.8485317,14.5136965","35.8471639,14.4954333","25.077735,121.229862","7.456233,151.837556","41.073911,-115.289703","43.057927,141.35747","-12.042188,-77.107964","-12.0441351,-77.0270244","35.8471639,14.4954333","25.077735,121.229862","35.8471639,14.4954333","-12.129454,-77.034612","24.5465538,-81.7974816","35.8527654,14.5229404",,,,,,,,
sheepie,"43.0830358,-79.0710406","27.50222,-99.50574","4.31614,-74.13006","55.64203,12.08051","41.76781,-124.23529","59.3279306,18.091309","48.3526667,11.7926389","59.85811,17.64784","4.31614,-74.13006","48.3526667,11.7926389","47.60829,-122.34031","59.3279306,18.091309","59.3279306,18.091309","50.09944,14.44433","46.97561,-120.41284","48.3526667,11.7926389","48.3526667,11.7926389","39.80282,-89.64911","59.3279306,18.091309","63.98846,-22.63131","50.09944,14.44433","48.3526667,11.7926389","47.60829,-122.34031","59.3279306,18.091309","4.31614,-74.13006","48.3526667,11.7926389","50.09944,14.44433","4.31614,-74.13006","48.3526667,11.7926389","45.85484,-64.26112","4.31614,-74.13006","48.3526667,11.7926389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maplemanatee,"43.081846,-79.077902","29.43342,-97.167313","13.0792797,-59.487776","48.1780341,11.5518739","21.2733,-157.69426","40.409897,116.265989","-1.401214,35.026394","40.409897,116.265989","-33.99992,-57.64328","27.736593,-15.593415","67.5677564,-139.8462377","27.36978,89.34639","13.4457,103.85588","29.24013,47.98382","57.0766,-135.5238","-1.401214,35.026394","22.336742,31.625753","41.8813696,-87.6170665","-8.80252,115.23777","37.828842,-25.519116","55.75168,37.62336","-1.401214,35.026394","69.4554307,-133.0368956","-8.744963,115.17049","13.0792797,-59.487776","33.626446,10.948788","25.241169,55.327152","13.939383,-61.042727","35.681697,10.103921","37.74668,-25.6934","-13.485419,-71.924722","34.138052,8.282959","35.03247,-111.02058","25.3504766,78.6441674","-27.18874,-109.44369","41.8813696,-87.6170665","-25.69112,-54.43701","63.98507,-16.95957","29.3878,48.0032","19.135481,-155.504834","20.353606,100.081342","31.182173,29.896576","-34.815833,-58.5402","42.696238,23.331882","-38.62243474991436,142.93186005727355","27.36978,89.34639","-33.939774,151.165179","22.336742,31.625753","-8.658181,119.716443","37.74668,-25.6934","52.24979209370754,21.01213454574779","40.409987,116.264281","44.6227449,-80.9397296","33.542621,9.96727","-54.35598,-36.11574","20.353606,100.081342","-33.8494702,151.2106668","47.4379589,-122.3021473","69.4554307,-133.0368956","8.949351155447951,-79.53183897683122","-22.95189,-43.21026","27.736593,-15.593415","27.542097,89.827042","25.258,51.4441","-12.121694539098653,-77.03508690649664","21.42388,-77.84476","-0.31658,37.15216","52.10456,-106.73791","28.62579,77.22502","19.135481,-155.504834","38.348362,-0.479325",,,,
